1		io	line	l		SI/WUB
2		io	line	l		BCBUS3
3		io	line	l		BCBUS2
4		io	line	l		BCBUS1
5		io	line	l		BCBUS0
6		io	line	l		BDBUS7
7		io	line	l		BDBUS6
8		io	line	l		BDBUS5
9		io	line	l		BDBUS4
10		io	line	l		BDBUS3
11		io	line	l		BDBUS2
12		io	line	l		BDBUS1
13		io	line	l		BDBUS0
14		pwr	line	l		GND
15		pwr	line	l		GND
16		io	line	l		VCCSW
17		io	line	l		VCCIOB
18		io	line	l		VCCIOA
19		io	line	l		EXTVCC
20		io	line	l		PORTVCC
40		io	line	r		ADBUS0/TCK/SK
39		io	line	r		ADBUS1/TDI/DU
38		io	line	r		ADBUS2/TDO/D1
37		io	line	r		ADBUS3/TMS/CS
36		io	line	r		ADBUS4/GPIOL0
35		io	line	r		ADBUS5/GPIOL1
34		io	line	r		ADBUS6/GPIOL2
33		io	line	r		ADBUS7/GPIOL3
32		io	line	r		ACBUS0/GPIOH0
31		io	line	r		ACBUS1/GPIOH1
30		io	line	r		ACBUS2/GPIOH2
29		io	line	r		ACBUS3/GPIOH3
28		io	line	r		SI/WUA
27		io	line	r		_RSTIN_
26		io	line	r		_RSTOUT_
25		pwr	line	r		GND
24		pwr	line	r		GND
23		pwr	line	r		GND
22		pwr	line	r		GND
21		io	line	r		VCCUSB
